,article,domain,label
76,"A water and an acetone extract of the Icelandic brown algae Fucus vesiculosus were evaluated as potential natural sources of antioxidant compounds in skin care emulsions. To assess their efficacy in inhibiting lipid oxidation caused by photo- or thermoxidation, they were stored in darkness and room temperature as control conditions, and compared to samples stored under accelerated conditions (light and room temperature, or darkness and 40 degrees C). The presence of extracts in the skin care emulsions induced remarkable colour changes when the emulsions were exposed to light, and more extensively under high temperature. High temperature also caused greater increments in the droplet size of the emulsions. The analysis of the tocopherol content, peroxide value and volatile compounds during the storage revealed that, whereas both water and acetone extracts showed (at 2mg/g of emulsion) protective effect against thermooxidation, only the water extract showed antioxidant activity against photooxidation. Practical applications: This research is the basis of developing natural antioxidants derived from seaweed to limit lipid oxidation in skin care products.
",Medical,5
77,"Ambient assisted living (AAL) technologies can provide assistance and support to persons with dementia. They might allow them the possibility of living at home for longer whilst maintaining their comfort and security as well as offering a way towards reducing the huge economic and personal costs forecast as the incidence of dementia increases worldwide over coming decades. However, the development, introduction and use of AAL technologies also trigger serious ethical issues. This paper is a systematic literature review of the on-going scholarly debate about these issues. More specifically, we look at the ethical issues involved in research and development, clinical experimentation, and clinical application of AAL technologies for people with dementia and related stakeholders. In the discussion we focus on: (1) the value of the goals of AAL technologies, (2) the special vulnerability of persons with dementia in their private homes, (3) the complex question of informed consent for the usage of AAL technologies.
",Civil,4
78,"Achievement and maintenance of virologic suppression after cancer diagnosis have been associated with improved outcomes in HIV-infected patients, but few studies have analyzed the virologic and immunologic outcomes after a cancer diagnosis. All HIV-infected patients with a diagnosis of cancer between 2000 and 2011 in an urban clinic population in Baltimore, MD, were included for review. HIV-related outcomes (HIV-1 RNA viral load and CD4 cell count) were abstracted and compared for patients with non-AIDS-defining cancers (NADCs) and AIDS-defining cancers (ADCs). Four hundred twelve patients with baseline CD4 or HIV-1 RNA viral load data were analyzed. There were 122 (30%) diagnoses of ADCs and 290 (70%) NADCs. Patients with NADCs had a higher median age (54 years vs. 43 years, p < .0001) and a higher frequency of hepatitis C coinfection (52% vs. 36%, p = .002). The median baseline CD4 was lower for patients with ADCs (137 cells/mm 3 vs. 314 cells/mm 3) and patients with NADCs were more likely to be suppressed at cancer diagnosis (59% vs. 25%) (both p < .0001). The median CD4 for patients with NADCs was significantly higher than patients with ADCs at 6 and 12 months after diagnosis and higher at 18 and 24 months, but not significantly. Patients with an NADC had 2.19 times (95% CI 1.04-4.62) the adjusted odds of being suppressed at 12 months and 2.17 times the odds (95% CI 0.92-5.16) at 24 months compared to patients with an ADC diagnosis. For patients diagnosed with ADCs and NADCs in this urban clinic setting, both virologic suppression and immunologic recovery improved over time. Patients with NADCs had the highest odds of virologic suppression in the 2 years following cancer diagnosis.
",Medical,5
79,"Abnormalities of T cell-mediated immune activation, in the absence of active somatic immune diseases, have consistently been reported in mood disorders. Apart from being important players in the regulation of cells of the immune system, T cells are essential for normal brain development. We here report studies on the relationship between circulating levels of T helper cells and structural and functional brain imaging in depressed bipolar patients. Since the CCL20-CCR6 axis is an important entry to the brain we differentiated the various T helper cell subpopulations on the basis of their chemokine receptor expression. Methods: FACS staining was performed for Th1,Th2,Th17, Th22 and T regulatory cells on frozen leukocytes of 25 consecutively admitted inpatients affected by a major depressive episode, without psychotic features, in the course of Bipolar Disorder I and 21 healthy controls. The frequency of the T helper populations was associated with DTI and fMRI data acquired on a Philips 3.0 Tesla scanner. Tract based spatial statistic was used to obtain measures of white matter integrity (fractional anisotropy, axial, radial and mean diffusivity) from a standard DTI sequence with 35 directions. Patients were also studied for fMRI through a moral valence decision task were subjects had to decide whether morally tuned stimuli were positive or negative. Results: The percentage of circulating Th17 (CCR6(+)CXCR3(neg)CCR4(+)CCR10(neg)) cells correlated positively with higher fractional anisotropy in fiber tracts contributing to the functional integrity of the brain both in patients and healthy controls, while the frequency of circulating T regulatory (CD(+)CD25(+)FOXP3(+)) cells correlated positively with higher radial and mean diffusivity in patients. The frequency of circulating T regulatory cells also correlated to lower neuronal responses to negative versus positive morally tuned stimuli in the right dorsolateral prefrontal cortex of patients. Thl cells correlated negatively with white matter integrity in several tracts (healthy controls), while the cells showed a positive correlation to the levels of pro-inflammatory cytokines (patients). Conclusion: This study shows a new putative role for Th17 cells. Th17 cells are not only playing a role in inducing autoimmunity and auto-inflammation, but might also play a counter intuitive anabolic role in the maintenance of the functional and structural integrity of the brain. (C) 2016 Elsevier Inc. All rights reserved.
",Medical,5
80,"[Purpose] The aim of this study was to analyze stabilometry in athletes during an indoor season in order to determine whether injured athletes show different stabilometric values before injury than non-injured athletes in two different training periods (volume and pre-competition periods). [Subjects] The subjects were 51 athletes from Unicaja athletic club who trained regularly. [Methods] At the end of the preseason and volume periods, athletes were subjected to bipodal and monopodal stabilometry. In addition, all injuries happening in the periods after performing stabilometry (volume and pre-competition periods) were tracked. [Results] Variance analysis of bipodal stabilometric measurements taken at the end of the preseason period showed that athletes with higher values for the center-of-pressure spread variables suffered injuries during the volume period. The right-leg monopodal stabilometric measurements taken at the end of the volume period showed that athletes with higher values in the center-of-pressure position variables suffered injuries during the pre-competition period. [Conclusion] Athletes showing the worst values for center-of-pressure spread variables are more prone to sports injuries in the subsequent training period. In monopodal measurements, athletes with poorer mediolateral stability were more prone to injuries in the subsequent training period.
",Medical,5
81,"AmI is clearly the next step into the evolution of the integration in daily life of computer technologies and AI products. Despite of the revolutionary nature of AmI, its analysis and media attention was big in the middle of 21st century decade, but decreasing since then. And this is a mistake, because the new social tendencies as well as the advancements in technological equipment and data procession techniques are allowing a next step into the advancement of AmI. Some general mistakes have been pointed and labeled as 'Ambient stupidity' and a broad philosophical analysis framework is suggested in order to prepare and improve the advent of Big AmI. At the same time, some critical remarks on the nature of human cognitive processes are introduced or reviewed. Finally, the request of new tools to deal with multivariate and dynamic sources of data is showed as a necessity of future researches.
",Civil,4
82,"A systematic review of rugby union and league injuries among players under the age of 21 years was carried out to calculate probabilities of match injury for a player over a season and a pooled estimate of match injury incidence where studies were sufficiently similar. The probability of a player being injured over a season ranged from 6% to 90% for rugby union and 68% to 96% for rugby league. The pooled injury incidence estimate for rugby union was 26.7/1000 player-hours for injuries irrespective of need for medical attention or time-loss and 10.3/1000 player-hours for injuries requiring at least 7 days absence from games; equivalent to a 28.4% and 12.1% risk of being injured over a season. Study heterogeneity contributed to a wide variation in injury incidence. Public injury surveillance and prevention systems have been successful in reducing injury rates in other countries. No such system exists in the UK.
",Medical,5
83,"A highly integrated Ku-band (10.7-12.75 GHz) planar phased array receiver of 64 antenna elements is presented. It features instantaneous reception of the full Ku-band (2.05 GHz wide) in two orthogonal polarizations with wide scan angles by using time delay instead of phase shift. The receiver is part of a system for satellite broadcast TV reception on board of moving vehicles. Two SiGe radio frequency integrated circuits (RFICs) were developed, packaged in ceramic BGAs and assembled onto a 15-layer printed circuit board (PCB) which integrates the antenna elements. An outline of the system is given along with a detailed description. It sets a new standard in integration density. The receiver has extensive analog signal processing at intermediate frequency (IF)-level. A novel bipolar implementation for true time delay is proposed, with a continuous programmable delay range of 0...80 ps with less than 2.5 ps group-delay variation in 2 GHz bandwidth (BW). The wide BW calls for a constant group-delay implementation in the IF chain. The receiver (RFIC) consumes only 132 mW per channel. Each channel has 40 dB gain.
",ECE,1
84,"Aging is associated with metabolic diseases such as type 2 diabetes mellitus, cardiovascular disease, cancer, and neurodegeneration. Aging contributes to common processes including metabolic dysfunction, DNA damage, and reactive oxygen species generation. Although glycolysis has been linked to cell growth and proliferation, the mechanisms by which the activation of glycolysis by aging regulates fibrogenesis in the lung remain unclear. The objective of this study was to determine if glucose transporter 1 (GLUT1)-induced glycolysis regulates age-dependent fibrogenesis of the lung. Mouse and human lung tissues were analyzed for GLUT1 and glycolytic markers using immunoblotting. Glycolytic function was measured using a Seahorse apparatus. To study the effect of GLUT1, genetic inhibition of GLUT1 was performed by short hairpin RNA transduction, and phloretin was used for pharmacologic inhibition of GLUT1. GLUT1-dependent glycolysis is activated in aged lung. Genetic and pharmacologic inhibition of GLUT1 suppressed the protein expression of a-smooth muscle actin, a key cytoskeletal component of activated fibroblasts, in mouse primary lung fibroblast cells. Moreover, we demonstrated that the activation of AMP activated protein kinase, which is regulated by GLUT1-dependent glycolysis, represents a critical metabolic pathway for fibroblast activation. Furthermore, we demonstrated that phloretin, a potent inhibitor of GLUT1, significantly inhibited bleomycin-induced lung fibrosis in vivo. These results suggest that GLUT1-dependent glycolysis regulates fibrogenesis in aged lung and that inhibition of GLUT1 provides a potential target of therapy of age-related lung fibrosis.
",Medical,5
85,"A more profound investigation about the responses in activity levels following pulmonary rehabilitation (PR) in patients with COPD is needed. We aimed to describe groups of patients with COPD according to patterns of change in physical activity and sedentary behaviour following PR. 90 patients with COPD (60% male; mean age 67 +/- 8; median FEV1 47 (32-62) % pred) completed a comprehensive PR programme. A triaxial accelerometer was used to assess the time in sedentary behaviour, light activities and moderate-to-vigorous physical activity (MVPA). Additionally, exercise capacity, quality of life, and symptoms of anxiety and depression were assessed before and after PR. Six groups with different patterns of change in physical activity and sedentary behaviour were identified. The two most prevalent patterns were represented by good responders (increase in physical activity and reduction in sedentary behaviour, 34%) and poor responders (decrease in physical activity and increase in sedentary behaviour, 30%). Good responders had greater improvements in six-minute walk distance (6MWD) and symptoms of depression than poor responders (P < 0.05 for all). Strong correlation was found between changes in sedentary behaviour and changes in light activities (r(s) = -0.89; P < 0.0001). Changes in 6MWD correlated fairly with changes in sedentary behaviour (r(s) = -0.26), light activities (r(s) = 0.25), and MVPA (r(s) = 0.24); P < 0.05 for all. Different patterns of change in activity levels following PR can be found in patients with COPD. Focusing on light physical activities might be a potential strategy to make patients less sedentary, but for this to be achieved prior (or at least parallel) improvements in functional capacity seem to be necessary. (C) 2017 Elsevier Ltd. All rights reserved.
",Medical,5
86,"Algorithmic and computer programming in the bachelor's degree is a course that demands a large involvement of students in performing non-standard exercises. This practical aspect is incompatible with classical ex cathedra course. It is the reason why we implement a blended learning approach much more responsive to students in a bachelor class of Bio Engineering at the Gembloux Agro Bio Tech Faculty (University of Liege, Belgium). This course alternates theoretical classes, take-home lessons with the help of online pedagogical resources and video and debriefing sessions where students have the possibility to benefit from teacher' support. In doing so, the students are better prepared for the examination. They also gain in confidence and motivation. The teacher no longer simply transmits the knowledge but assists the students in their reflection process and their mastering of programming tools.
",CS,0
87,"A reflection-type artificial dielectric substrate (ADS) microstrip dispersive delay line (DDL) for analog signal processing is presented. This DDL is realized by nonuniformly alternating conventional and ADS microstrip sections with a linearly increasing period (linear group delay or constant chirp) so that the different spectral components of a modulated signal incur different delays proportional to their frequency to be discriminated in time. Design guidelines are provided. The proposed DDL is demonstrated theoretically, numerically, and experimentally, and is fully characterized in terms of reflective level, bandwidth, group delay, and chirping coefficient for excitation at both ports. The DDL is then demonstrated in a frequency discriminator. Finally, it is compared with a stepped-impedance DDL and a sinusoidal-impedance DDL, and shown to exhibit superior symmetry along to smaller overall loss due to dramatically mitigated radiation, thereby leading to superior performances in various analog signal-processing systems such as impulse delay lines, real-time Fourier transformers, and compressive receivers.
",ECE,1
88,"An ad hoc wireless network is a set of nodes connected by wireless links in which nodes cooperate to forward packets from a source to a destination. Geographic routing (or position-based routing) has become an attractive solution for such networks since it reduces routing control overhead flooded in the network to construct routes (routes discovery). Many geographic routing protocols have been designed to guarantee packet delivery in such networks. However, these protocols consider that all nodes in the network are trustworthy which allows malicious nodes to violate network security and disrupt packet forwarding. In this paper, we propose and evaluate a new security approach that secures geographic routing protocols against a variety of attacks. Our approach is based on the use of MACs to allow intermediate nodes to verify the authenticity and the integrity of forwarded packets and uses authenticated acknowledgements to prevent packet dropping attacks. To meet node's resource constraints, we have based our solution on symmetric cryptography. Our solution is robust against modification and dropping attacks even in the presence of compromised nodes in the network.
",CS,0
89,"A hierarchical modulation scheme is proposed to upgrade an existing digital broadcast system, such as satellite TV, or satellite radio, by adding more data in its transmission. The hierarchical modulation consists of a basic constellation, which is the same as in the original system, and a secondary constellation, which carries the additional data for the upgraded system. The upgraded system with the hierarchical modulation is backward compatible in the sense that receivers that have been deployed in the original system can continue receiving data in the basic constellation. New receivers can be designed to receive data carried in the secondary constellation, as well as those in the basic constellation. Analysis will be performed to show the tradeoff between bit rate of the data in secondary constellation and the penalty to the performance of receiving the basic constellation.
",ECE,1
90,"Ambient intelligence (AmI) systems are now considered a promising approach to assist people in their daily life. AmI proposes the development of context aware systems equipped with devices that can recognize your context and act accordingly. Agents provide an effective way to develop such systems since agents are reactive, proactive and exhibit an intelligent and autonomous behavior. However, current agent approaches do not adequately fulfill the requirements posed by AmI systems. From a modeling point of view, the aim should be to help in the design by providing adequate tools that assist in the development of important properties of AmI systems, such as context-awareness; and from an implementation point of view, agent technologies must be adapted to the diversity of AmI devices and communication technologies. As a solution to these issues we propose a Model driven engineering process, which supports the automatic generation of agent-based AmI systems. The source metamodel is PIM4Agents, a general purpose agent metamodel that we have adapted to support the explicit modeling of context aware systems, and the target metamodel is Malaca, an aspect-oriented agent architecture. Aspect-orientation makes Malaca platform-neutral for FIPA compliant agent platforms, simplifying the model driven process. The solution generates MalacaTiny agents, an implementation of Malaca that is able to run in AmI devices. We have evaluated the convenience of applying a model driven approach by measuring the degree of automation of our process and we have evaluated MalacaTiny for mobile phones by assessing different parameters, related to the scarcity of resources in AmI systems. All the results obtained are satisfactory.
",Civil,4
91,"A high-efficiency, high-power-density buffer architecture is proposed for power pulsation decoupling in power conversion between dc and single-phase ac. We present an active decoupling solution that yields improved efficiency and reduced circuit complexity compared to existing solutions. In the proposed architecture, the main energy storage capacitor is connected in series with an active buffer converter across the dc bus. The series-stacked capacitor blocks the majority of the dc bus voltage to reduce the voltage stress on the buffer converter, such that fast, low-voltage transistors can be employed for the buffer converter. Moreover, the series capacitor provides the majority of the power pulsation decoupling through a wide voltage swing, and the buffer converter only needs to process a small fraction of the total power of the entire architecture, allowing a very small active circuit volume and very high system efficiency. The circuit operation and design constraints are analyzed in detail. In the proposed buffer architecture, the series stacking of a nearly lossless capacitor and a lossy converter presents a challenge of capacitor voltage balancing and power loss compensation. We propose a control scheme exploiting the small ripple in the bus voltage and dc input current to compensate for the power loss in the buffer converter while maintaining the voltage balance. Light-load techniques are also introduced to ensure that the buffer architecture meets strict ripple requirements while providing sufficient loss compensation. A 2-kW hardware prototype based on low-voltage GaN switches has been built to demonstrate the performance of the proposed solution. A power density of 25W/cm(3) (410 W/in(3)) by rectangular box volume and an efficiency above 98.9% across a wide load range has been experimentally verified.
",ECE,1
92,"A kind of core cross-linked poly(ethylene glycol)-graft-Dextran nanoparticles (CPD NPs) was prepared by a simple chemical cross-linking method for reduction and pH dual response drug delivery. The resultant CPD NPs are of homogeneous spherical structure with sizes from 69 +/- 11 to 107 +/- 18 nm. Doxorubicin (DOX) was then loaded into the CPD NPs in high efficiency, and showing typical reduction and pH dual responsive release profiles. The flow cytometric analysis and confocal laser scanning microscopy (CLSM) confirmed that the DOX-loaded CPD NPs could be internalized into cancer cell efficiently and release DOX in intracellular environment. Furthermore, cell cytotoxicity assays indicated that the CPD NPs had good biocompatibility toward both cancerous and normal cells, while the Dox-loaded CPD NPs exhibited significant inhibition of cell proliferation in various cancer cells. Therefore, this biocompatible CPD NP may have great potential for intracellular drug delivery in clinical cancer therapy. (C) 2017 Elsevier Inc. All rights reserved.
",Medical,5
93,"A digital dual-mode linear quadratic regulator (LQR) with feedforward optimal controller is presented, which allows voltage control of a boost converter for wide-load-range condition, whether in continuous conduction mode (CCM) or in discontinuous conduction mode (DCM). Based on the conventional LQR method, the proposed controller is designed and makes the following two improvements. First, in order to eliminate the phase error caused by right-half-phase zero emerged in non-minimum phase boost converter, a feedforward controller is implemented by zero phase error tracking control technique because the inverse of non-minimum phase system is unstable. Second, since the models of DC-DC converter in CCM or DCM are different, the proposed control strategy allows boost converter to autonomously operate in CCM or DCM controller by utilising a mode detector. The proposed mode detector greatly enhances the control performance in both operating modes. Finally, the proposed controller has been implemented for voltage control of a boost converter. The simulation and experimental results show the proposed controller offers better performance in both transient response and frequency response than the conventional LQR controller.
",ECE,1
94,"A necessary condition for stability of a class of recurrent type-2 TSK fuzzy systems is presented. In this system, the antecedent part is indeed represented by interval Gaussian type-2 fuzzy set, and the consequent part is an ordinary nonlinear function of the system's inputs. In the proposed method, at first a type-2 fuzzy model is established, and then an LMI-based stability analysis of the model is fully discussed. Two first-order systems (one stable and one unstable) and two second-order systems (one stable and one unstable) are then considered as proper case studies. The simulation results easily approve the effectiveness of the proposed method.
",ECE,1
95,"A Software Product Line is a set of software systems of a domain, which share some common features but also have significant variability. A feature model is a variability modeling artifact which represents differences among software products with respect to variability relationships among their features. Having a feature model along with a reference model developed in the domain engineering lifecycle, a concrete product of the family is derived by selecting features in the feature model (referred to as the configuration process) and by instantiating the reference model. However, feature model configuration can be a cumbersome task because: 1) feature models may consist of a large number of features, which are hard to comprehend and maintain; and 2) many factors including technical limitations, implementation costs, stakeholders' requirements and expectations must be considered in the configuration process. Recognizing these issues, a significant amount of research efforts has been dedicated to different aspects of feature model configuration such as automating the configuration process. Several approaches have been proposed to alleviate the feature model configuration challenges through applying visualization and interaction techniques. However, there have been limited empirical insights available into the impact of visualization and interaction techniques on the feature model configuration process. In this paper, we present a set of visualization and interaction interventions for representing and configuring feature models, which are then empirically validated to measure the impact of the proposed interventions. An empirical study was conducted by following the principles of control experiments in software engineering and by applying the well-known software quality standard ISO 9126 to operationalize the variables investigated in the experiment. The results of the empirical study revealed that the employed visualization and interaction interventions significantly improved completion time of comprehension and changing of the feature model configuration. Additionally, according to results, the proposed interventions are easy-to-use and easy-to-learn for the participants.
",CS,0
96,"A novel magnetic force driven noncontact electromagnetic-triboelectric hybrid nanogenerator for scavenging biomechanical energy to sustainably power portable electrics is presented. Based on the effective conjunction of electromagnetic induction and triboelectrification, the hybrid nanogenerator with a small dimension consists of an electromagnetic generator (EMG) with a peak output power of 3.4 mW under a load resistance of 200 Omega and a triboelectric nanogenerator (TENG) with a peak output power of 0.23 mW under a load resistance of 25 M Omega. For TENG, the electrospun Fe3O4 nanoparticles embedded PVDF fibers membrane is employed as triboelectric layer. A magnet is utilized as the trigger to non-contactly drive contact-separation mode TENG due to the magnetic responsiveness of triboelectric materials, and the EMG can be drived by coupling magnet with copper coils simultaneously. The hybrid nanogenerator exhibits a good stability for the output performance and charging performance, so it can be utilized to charge energy storage devices and sustainably power some portable electronics. This work demonstrates a novel prototype of hybrid nanogenerators toward harvesting human biomechanical energy and its potential applications in building up self-powered systems.
",ECE,1
97,"A family of conservative, truly nonlinear, oscillators with integer or non-integer order nonlinearity is considered. These oscillators have only one odd power-form elastic-term and exact expressions for their period and solution were found in terms of Gamma functions and a cosine-Ateb function, respectively. Only for a few values of the order of nonlinearity, is it possible to obtain the periodic solution in terms of more common functions. However, for this family of conservative truly nonlinear oscillators we show in this paper that it is possible to obtain the Fourier series expansion of the exact solution, even though this exact solution is unknown. The coefficients of the Fourier series expansion of the exact solution are obtained as an integral expression in which a regularized incomplete Beta function appears. These coefficients are a function of the order of nonlinearity only and are computed numerically. One application of this technique is to compare the amplitudes for the different harmonics of the solution obtained using approximate methods with the exact ones computed numerically as shown in this paper. As an example, the approximate amplitudes obtained via a modified Ritz method are compared with the exact ones computed numerically. (C) 2014 Elsevier B.V. All rights reserved.
",CS,0
98,"An active actuator of electro-active polymer (EAP), i.e. ionic polymer metal composite (IPMC), is subjected to alternating electric potential to investigate and study the time-delayed vibration characteristics. A generalized mathematical model of the actuator is obtained assuming multi-mode excitation and applying the Hamilton's principle. Lambert W-function is then applied and a closed form solution of the transcendental characteristic equation of delay differential equation (DDE) is obtained. Delay differential equations (DDEs) are then solved taking into account the experimental data and physical properties of IPMC, and the results are discussed and validated.
",Civil,4
99,"A common feature of ambient intelligence is that many objects are inter-connected and act in unison, which is also a challenge in the Internet of Things. There has been a shift in research towards integrating both concepts, considering the Internet of Things as representing the future of computing and communications. However, the efficient combination and management of heterogeneous things or devices in the ambient intelligence domain is still a tedious task, and it presents crucial challenges. Therefore, to appropriately manage the inter-connection of diverse devices in these systems requires: (1) specifying and efficiently implementing the devices (e.g., as services); (2) handling and verifying their heterogeneity and composition; and (3) standardizing and managing their data, so as to tackle large numbers of systems together, avoiding standalone applications on local servers. To overcome these challenges, this paper proposes a platform to manage the integration and behavior-aware orchestration of heterogeneous devices as services, stored and accessed via the cloud, with the following contributions: (i) we describe a lightweight model to specify the behavior of devices, to determine the order of the sequence of exchanged messages during the composition of devices; (ii) we define a common architecture using a service-oriented standard environment, to integrate heterogeneous devices by means of their interfaces, via a gateway, and to orchestrate them according to their behavior; (iii) we design a framework based on cloud computing technology, connecting the gateway in charge of acquiring the data from the devices with a cloud platform, to remotely access and monitor the data at run-time and react to emergency situations; and (iv) we implement and generate a novel cloud-based IoT platform of behavior-aware devices as services for ambient intelligence systems, validating the whole approach in real scenarios related to a specific ambient assisted living application.
",Civil,4
100,"A nonrelational, distributed computing, data warehouse, and analytics environment (Energy-CRADLE) was developed for the analysis of field and laboratory data from multiple heterogeneous photovoltaic (PV) test sites. This data informatics and analytics infrastructure was designed to process diverse formats of PV performance data and climatic telemetry time-series data collected from a PV outdoor test network, i.e., the Solar Durability and Lifetime Extension global SunFarm network, as well as point-in-time laboratory spectral and image measurements of PV material samples. Using Hadoop/HBase for the distributed data warehouse, Energy-CRADLE does not have a predefined data table schema, which enables ingestion of data in diverse and changing formats. For easy data ingestion and data retrieval, Energy-CRADLE utilizes Hadoop streaming to enable Python MapReduce and provides a graphical user interface, i.e., py-CRADLE. By developing the Hadoop distributed computing platform and the HBase NoSQL database schema for solar energy, Energy-CRADLE exemplifies an integrated, scalable, secure, and user-friendly data informatics and analytics system for PV researchers. An example of Energy-CRADLE enabled scalable, data-driven, analytics is presented, where machine learning is used for anomaly detection across 2.2 million real-world current-voltage (I-V) curves of PV modules in three distinct Koppen-Geiger climatic zones.
",CS,0
101,"A novel duct silencer was developed using dielectric elastomer absorbers (DEAs). Dielectric elastomer, a lightweight, high elastic energy density and large deformation under high DC/AC voltages smart material, was used to fabricate this new generation actuator. The acoustic performances of this duct silencer were experimentally investigated in a transmission loss (TL) measurement system using two-load method. It was found that the resonance peaks of this new duct silencer could be controlled by applying various DC voltages, a maximum resonance shift of 59.5Hz for the resonance peaks was achieved which indicated that this duct silencer could be adjusted to absorb broadband range noise without any addition mechanical part. Furthermore, the resonance shift and multiple resonances mechanisms using DEAs were proposed and discussed in the present paper which was aiming to achieve broadband noise reduction. The present results also provide insight into the appropriateness of the absorber for possible use as new acoustic treatment to replace the traditional acoustic treatment.
",Civil,4
102,"Among these response signals in the external auditory canal evoked by stimulating sounds, as OAEs signal intensity is very low, which is generally lower than 20BbSPL, while the stimulus artifact is relatively much stronger, stimulus artifact suppression has always been a very important but very thorny issue in the OAEs detection. This article studies the OAEs detection algorithm and the comprehensive application of the current signal processing method in the embedded hearing diagnosis system, which get good effects in artifact removal.
",CS,0
103,"A free-space optical communication system with a sun light directly pumped laser as the signal transmitter was demonstrated. A 0.6 x 0.6 m Fresnel lens was used as the primary concentrator to collect the solar light. 6.8 W continuous wave laser power was obtained from a 4 mm diameter grooved Nd:YAG rod. The output intensity was modulated with a video signal via a LiNbO3 Mach-Zehnder optoelectronic modulator. The video signal with a resolution of 1920 * 1080/frame and the frame rate of 25 Hz was transmitted over five-meter free-space in real time with high fidelity. The transmission rate was 125 Mbps and bit error rate was lower than 10(-6). This research shows the feasibility of applying a solar light directly pumped laser for free-space optical communication, which is significant for telecommunications between satellites.
",Civil,4
104,"A novel method for monitoring parameters of absorbing coatings, which are widely used for stealth technology, is described in this paper. The offered method of measurements is based on the use of slow-wave structures (SWSs), which electrodynamic parameters strongly depend on the electromagnetic properties of the absorbing coatings. The main advantages of the SWS-based measurements are in the possibility to concentrate electromagnetic field in a volume with linear dimensions much smaller the wavelength in free space and to split electric and magnetic fields, providing practically independent monitoring of dielectric and magnetic properties of the coatings. Resonant frequencies and Q-factor of a SWS section placed in parallel to a monitored coating can be used as primary measuring parameters. Analysis of the dispersion equation derived for a SWS-based sensitive element in the presence of a coating allows creating algorithms for converting measured electrodynamic parameters into the reading of the coatings' electromagnetic properties. It is shown also that the use of coupled SWSs leads to the increase in the informative parameters' number and to the significant increase in sensitivity.
",Civil,4
105,"All-to-all personalized exchange (ATAPE) is an inspired process to speedup the parallel and distributed computing. Recently, ATAPE algorithms were successfully applied on multistage interconnection networks (MINs), including baseline and butterfly networks. However, routing of those algorithms on MINs relies on switch-patterns for stage-control from sources (S), which is a half-routing solution since they cannot perform a full self-routing with the (S, D) protocol for all MINs. In this paper, first we propose a full-routing solution of the realizing ATAPE on a class of d-nary-switch MINs(+) (i.e., baseline(+), butterfly(+), etc.). Our ATAPE can be embedded on-chip effectively for not only (S, D) self-routing but also stage-/switch-control routing. Two embedded ATAPE functions incorporate with multi-stage pipelining are proposed in optimal O(N + log(2) N): 1. a (default) static function D = S XOR (C + order) mod N and 2. an (optional) f-in-1 dynamic function D = rho [(S + C + order) mod N] with the incrementing counter C = 0 to N - 1. Second, we introduce a crossbar of MINs(+) with fewer delay-stages to achieve the ultimate ATAPE embedding. Finally, experimental results of applying ATAPE on such MINs(+) are confirmed fruitfully, including the ATAPE-based NxN-matrix transposition in O(N + log(2) N), which yields the significant speedup. (C) 2015 Elsevier Inc. All rights reserved.
",CS,0
106,"An experimental technique based on time-averaged circular geometric moire for optical measurement of angular oscillations is presented in this paper. The pitch of the circular moire is preselected in such a way that angular oscillations of different amplitudes yield time-averaged moire fringes at different locations of the cover image. This optical effect enables to construct an optical scale for direct measurement of angular oscillations. The proposed technique is similar to visual cryptography, which is a cryptographic technique that allows encryption of visual information in such a way, that decryption can be done without use of any computational device. The efficiency and the applicability of the proposed technique for performance degradation prediction of rotating mechanical components is illustrated and validated by computational simulations and experimental tests.
",CS,0
107,"An efficient procedure for calculating the electromagnetic fields in multilayered cylindrical structures is reported in this paper. Using symbolic computation, spectral Green's functions, suitable for numerical implementations are determined in compact and closed forms. Applications are presented for structures with two dielectric layers.
",CS,0
108,"A multifunctional platform based on the microhotplate was developed for applications including a Pirani vacuum gauge, temperature, and gas sensor. It consisted of a tungsten microhotplate and an on-chip operational amplifier. The platform was fabricated in a standard complementary metal oxide semiconductor (CMOS) process. A tungsten plug in standard CMOS process was specially designed as the serpentine resistor for the microhotplate, acting as both heater and thermister. With the sacrificial layer technology, the microhotplate was suspended over the silicon substrate with a 340 nm gap. The on-chip operational amplifier provided a bias current for the microhotplate. This platform has been used to develop different kinds of sensors. The first one was a Pirani vacuum gauge ranging from 10(-1) to 10(5) Pa. The second one was a temperature sensor ranging from -20 to 70 degrees C. The third one was a thermal-conductivity gas sensor, which could distinguish gases with different thermal conductivities in constant gas pressure and environment temperature. In the fourth application, with extra fabrication processes including the deposition of gas-sensitive film, the platform was used as a metal-oxide gas sensor for the detection of gas concentration.
",ECE,1
109,"Artificial neural networks have been effectively used in various civil engineering fields, including construction management and labour productivity. In this study, the performance of the feed forward neural network (FFNN) was compared with radial basis neural network (RBNN) in modelling the productivity of masonry crews. A variety of input factors were incorporated and analysed. Mean absolute percentage error (MAPE) and correlation coefficient (R) were used to evaluate model performance. Research results indicated that the neural computing techniques could be successfully employed in modelling crew productivity. It was also found that successful models could be developed with different combinations of input factors, and several of the models which excluded one or more input factors turned out to be better than the baseline models. Based on the MAPE values obtained for the models, the RBNN technique was found to be better than the FFNN technique, although both slightly overestimated the masons' productivity.
",Civil,4
